customer_id,transaction_date,monetary_value
C0001,2023-02-06,33.22
C0001,2023-03-08,48.44
C0001,2023-06-12,75.85
C0001,2023-06-17,70.35
C0001,2023-08-06,153.32
C0001,2023-10-12,159.37
C0001,2023-10-18,5.83
C0002,2023-03-14,95.45
C0002,2023-05-14,43.8
C0002,2023-06-16,70.02
C0002,2023-10-14,41.92
C0003,2023-03-05,52.95
C0003,2023-03-08,80.33
C0003,2023-05-23,20.84
C0003,2023-08-11,28.94
C0003,2023-09-07,103.81
C0003,2023-10-03,88.21
C0003,2023-11-01,98.67
C0004,2023-04-13,26.77
C0005,2023-01-06,71.12
C0006,2023-03-14,121.98
C0007,2023-06-14,115.41
C0007,2023-08-26,153.84
C0007,2023-11-07,26.93
C0007,2023-11-30,87.39
C0007,2023-12-05,87.92
C0008,2023-01-10,103.23
C0008,2023-01-12,69.14
C0008,2023-02-09,10.81
C0008,2023-06-06,154.54
C0008,2023-06-30,44.69
C0008,2023-07-10,35.44
C0009,2023-02-08,45.27
C0009,2023-03-21,36.46
C0009,2023-04-18,50.37
C0009,2023-06-02,110.22
C0009,2023-06-16,22.59
C0010,2023-01-03,49.05
C0010,2023-06-02,53.05
C0010,2023-07-06,74.96
C0011,2023-01-24,10.35
C0012,2023-04-02,69.63
C0012,2023-04-14,47.71
C0012,2023-04-20,88.46
C0012,2023-07-01,54.22
C0013,2023-01-30,22.36
C0013,2023-06-13,39.73
C0013,2023-07-21,63.02
C0013,2023-08-05,75.06
C0014,2023-04-28,173.24
C0015,2023-02-05,111.71
C0015,2023-05-08,85.79
C0015,2023-10-23,5.56
C0016,2023-02-11,107.95
C0017,2023-07-08,24.39
C0018,2023-02-03,19.89
C0019,2023-05-28,133.03
C0019,2023-11-09,110.47
C0019,2023-11-21,180.29
C0020,2023-01-02,73.03
C0021,2023-03-23,24.71
C0021,2023-03-28,85.6
C0021,2023-04-29,116.01
C0021,2023-09-17,21.33
C0021,2023-09-30,36.53
C0022,2023-05-08,110.23
C0022,2023-06-08,84.01
C0022,2023-06-27,154.69
C0022,2023-08-24,84.14
C0022,2023-11-27,13.77
C0023,2023-01-06,54.84
C0023,2023-06-06,47.0
C0023,2023-12-05,105.71
C0023,2023-12-19,32.08
C0024,2023-01-26,44.88
C0024,2023-03-18,112.3
C0024,2023-04-03,47.11
C0024,2023-05-11,13.48
C0024,2023-09-02,87.92
C0024,2023-11-05,37.71
C0024,2023-12-06,74.01
C0025,2023-08-26,26.23
C0025,2023-09-14,18.7
C0025,2023-10-18,63.27
C0025,2023-11-21,44.13
C0026,2023-04-02,10.76
C0026,2023-11-11,85.69
C0027,2023-01-19,213.08
C0027,2023-02-01,97.2
C0027,2023-07-13,10.31
C0027,2023-08-16,73.59
C0028,2023-01-30,179.66
C0028,2023-03-09,39.44
C0028,2023-04-02,17.79
C0028,2023-09-29,50.99
C0029,2023-04-13,18.34
C0029,2023-07-22,45.88
C0029,2023-08-12,86.63
C0029,2023-09-27,105.56
C0029,2023-12-15,1.22
C0030,2023-01-06,29.45
C0030,2023-01-18,331.74
C0030,2023-04-06,68.79
C0030,2023-08-26,81.41
C0030,2023-11-20,115.08
C0030,2023-12-13,29.19
C0031,2023-05-21,74.44
C0031,2023-12-10,78.21
C0031,2023-12-17,41.2
C0032,2023-05-05,63.75
C0032,2023-09-06,14.85
C0033,2023-09-26,34.83
C0033,2023-10-21,43.27
C0033,2023-11-17,64.08
C0034,2023-03-28,70.32
C0034,2023-03-29,51.64
C0034,2023-07-25,340.58
C0034,2023-07-31,83.89
C0034,2023-09-06,59.65
C0034,2023-09-28,34.13
C0034,2023-11-13,64.37
C0035,2023-09-03,64.46
C0035,2023-10-02,32.88
C0035,2023-10-16,118.27
C0035,2023-10-16,58.72
C0036,2023-09-09,19.9
C0036,2023-11-02,49.49
C0036,2023-11-03,66.98
C0036,2023-11-13,25.67
C0037,2023-05-16,38.16
C0037,2023-10-02,56.02
C0037,2023-10-24,110.71
C0037,2023-12-12,58.19
C0037,2023-12-26,64.19
C0038,2023-09-06,53.07
C0038,2023-09-29,43.64
C0038,2023-10-08,5.65
C0038,2023-10-28,145.36
C0039,2023-01-16,53.16
C0039,2023-01-27,66.09
C0039,2023-07-12,89.56
C0039,2023-11-22,213.98
C0039,2023-12-29,36.66
C0040,2023-12-01,33.5
C0041,2023-03-10,55.17
C0041,2023-06-19,36.91
C0042,2023-04-23,71.87
C0042,2023-07-15,32.85
C0042,2023-09-12,89.23
C0043,2023-06-02,71.48
C0043,2023-08-01,122.4
C0044,2023-02-24,77.95
C0044,2023-05-20,78.1
C0044,2023-08-05,60.32
C0044,2023-10-23,62.58
C0044,2023-12-21,157.58
C0044,2023-12-27,79.8
C0045,2023-03-29,40.11
C0046,2023-03-25,36.31
C0046,2023-05-11,76.3
C0046,2023-08-14,203.81
C0046,2023-09-03,72.8
C0047,2023-06-03,130.38
C0047,2023-06-25,75.86
C0047,2023-08-04,107.28
C0047,2023-08-22,108.56
C0047,2023-10-14,204.29
C0047,2023-10-17,195.77
C0048,2023-11-11,15.07
C0048,2023-12-13,62.58
C0049,2023-03-18,232.96
C0049,2023-05-05,27.47
C0049,2023-05-07,93.01
C0049,2023-07-16,32.47
C0049,2023-07-31,87.92
C0050,2023-01-15,65.67
C0050,2023-03-03,20.01
C0050,2023-04-12,56.9
C0051,2023-02-03,49.66
C0051,2023-04-28,28.54
C0051,2023-06-25,73.35
C0051,2023-07-06,36.42
C0051,2023-09-09,63.46
C0052,2023-01-14,67.53
C0052,2023-04-03,30.83
C0052,2023-06-18,68.57
C0052,2023-09-18,35.38
C0052,2023-09-30,32.68
C0052,2023-11-23,28.5
C0053,2023-03-27,40.17
C0053,2023-05-06,257.72
C0053,2023-05-10,41.15
C0053,2023-06-22,154.66
C0054,2023-05-10,198.07
C0054,2023-05-13,50.31
C0054,2023-07-28,55.03
C0054,2023-08-24,49.55
C0054,2023-12-27,48.4
C0055,2023-01-07,64.61
C0055,2023-01-19,87.04
C0055,2023-07-30,78.46
C0055,2023-09-12,179.81
C0055,2023-11-04,32.54
C0055,2023-11-24,97.48
C0055,2023-12-30,119.08
C0056,2023-01-19,104.92
C0056,2023-02-19,41.88
C0056,2023-02-26,104.68
C0056,2023-05-03,38.0
C0056,2023-06-25,242.59
C0056,2023-07-14,72.79
C0057,2023-01-18,69.03
C0057,2023-09-21,91.43
C0057,2023-12-05,100.85
C0058,2023-05-11,133.78
C0058,2023-07-10,48.59
C0058,2023-08-31,12.44
C0058,2023-10-25,50.68
C0058,2023-11-17,80.53
C0059,2023-01-25,55.8
C0059,2023-03-25,173.17
C0059,2023-05-02,63.58
C0059,2023-06-07,108.86
C0059,2023-07-18,120.57
C0059,2023-09-24,98.64
C0060,2023-05-05,32.55
C0060,2023-10-27,140.0
C0061,2023-01-05,47.28
C0061,2023-05-30,60.18
C0061,2023-07-26,80.51
C0061,2023-08-07,107.96
C0061,2023-08-07,18.69
C0061,2023-09-19,53.84
C0061,2023-10-09,47.45
C0062,2023-07-26,76.69
C0062,2023-09-12,26.54
C0062,2023-09-16,73.46
C0062,2023-12-03,69.52
C0063,2023-03-02,91.76
C0063,2023-03-10,21.57
C0063,2023-03-28,96.19
C0063,2023-04-24,40.95
C0063,2023-05-02,123.39
C0063,2023-11-02,54.68
C0064,2023-03-23,26.89
C0064,2023-06-15,58.64
C0064,2023-09-27,107.39
C0065,2023-03-19,58.3
C0065,2023-03-22,21.97
C0065,2023-04-12,71.8
C0065,2023-06-17,21.48
C0065,2023-07-08,11.86
C0065,2023-07-23,224.23
C0065,2023-12-23,42.82
C0066,2023-01-24,4.15
C0066,2023-06-15,126.1
C0066,2023-10-11,51.01
C0067,2023-04-10,49.94
C0067,2023-07-12,135.29
C0067,2023-10-02,8.5
C0067,2023-10-20,257.5
C0067,2023-11-03,71.8
C0067,2023-11-24,71.53
C0067,2023-12-24,118.48
C0068,2023-02-21,41.83
